FixID,DateTime,Latitude ,Longitude ,Altitude 
363,04/11/2014 20:00:59,38.5717028,-111.9309297,2763.547
364,04/12/2014 00:01:14,38.5716606,-111.9310314,2757.84
365,04/12/2014 04:01:21,38.5716369,-111.9309369,2764.188
367,04/12/2014 12:01:22,38.5688917,-111.9381306,3078.453
368,04/12/2014 16:00:57,38.5685106,-111.9387767,2935.813
369,04/12/2014 20:01:50,38.5718536,-111.9223406,2670.695
370,04/13/2014 00:01:22,38.5683364,-111.9108017,2492.125
371,04/13/2014 04:01:36,38.5683867,-111.9107775,2497.934
372,04/13/2014 08:01:19,38.5688108,-111.9105561,2490.094
373,04/13/2014 12:02:03,38.5688764,-111.9104364,2553.496
374,04/13/2014 16:01:37,38.5688,-111.910565,2511.668
375,04/13/2014 20:01:01,38.5688133,-111.9106111,2501.547
379,04/14/2014 12:01:08,38.5715156,-111.9256986,2582.113
380,04/14/2014 16:01:20,38.5727869,-111.9250772,2687.234
381,04/14/2014 20:01:17,38.5677875,-111.9105636,2485.973
382,04/15/2014 00:01:02,38.5676017,-111.9106106,2479.531
383,04/15/2014 04:01:19,38.5582025,-111.9290703,2548.988
387,04/15/2014 20:02:14,38.5676919,-111.9284378,2656.594
388,04/16/2014 00:01:20,38.5685247,-111.9107878,2502.309
389,04/16/2014 04:02:02,38.5686869,-111.9107136,2504.504
390,04/16/2014 08:01:19,38.572835,-111.9250622,2748.961
391,04/16/2014 12:01:37,38.5723936,-111.9249325,2682.813
392,04/16/2014 16:01:59,38.5724392,-111.9205661,2638.582
393,04/16/2014 20:00:59,38.5686792,-111.9107722,2519.773
394,04/17/2014 00:01:18,38.5686686,-111.9106672,2508.738
395,04/17/2014 04:01:19,38.5678689,-111.9107839,2480.121
397,04/17/2014 12:01:20,38.5725494,-111.9250656,2688.148
399,04/17/2014 20:01:18,38.5691611,-111.9102708,2508.965
400,04/18/2014 00:01:00,38.5691683,-111.9103292,2503.086
401,04/18/2014 04:01:11,38.5691478,-111.9103136,2500.973
404,04/18/2014 16:01:18,38.5726578,-111.9248983,2655.57
405,04/18/2014 20:01:06,38.5680558,-111.9102464,2491.148
406,04/19/2014 00:00:59,38.5680969,-111.9102394,2493.016
407,04/19/2014 04:01:33,38.5670183,-111.9101756,2481.152
408,04/19/2014 08:01:22,38.5725678,-111.9247381,2662.387
409,04/19/2014 12:01:04,38.5724711,-111.9247747,2626.391
410,04/19/2014 16:01:18,38.5725614,-111.9247039,2681.457
411,04/19/2014 20:02:07,38.5688869,-111.9104269,2510.266
412,04/20/2014 00:01:48,38.5672953,-111.9096361,2466.672
413,04/20/2014 04:01:19,38.56704,-111.9099992,2487.375
414,04/20/2014 08:00:57,38.5725197,-111.9215797,2622.527
415,04/20/2014 12:01:19,38.5728828,-111.9251717,2664.949
416,04/20/2014 16:01:11,38.5727942,-111.9255461,2647.582
417,04/20/2014 20:00:59,38.5788078,-111.9184106,2566.371
418,04/21/2014 00:00:57,38.5788833,-111.9185217,2558.973
419,04/21/2014 04:01:38,38.5788697,-111.9185153,2557.113
420,04/21/2014 08:00:57,38.5927336,-111.9252594,2792.422
421,04/21/2014 12:01:19,38.5929489,-111.9247447,2714.758
422,04/21/2014 16:00:50,38.5928886,-111.9247386,2714.688
425,04/22/2014 04:01:18,38.5786983,-111.90908,2461.523
427,04/22/2014 12:01:27,38.5786228,-111.9263525,2684.609
428,04/22/2014 16:00:56,38.5786264,-111.9263992,2668.602
429,04/22/2014 20:01:20,38.5768911,-111.9073339,2465.922
430,04/23/2014 00:01:14,38.5724358,-111.8980086,2328.344
431,04/23/2014 04:00:59,38.5723772,-111.8980458,2318.25
432,04/23/2014 08:01:36,38.5721653,-111.8980636,2330.41
433,04/23/2014 12:02:07,38.57231,-111.8980975,2304.563
434,04/23/2014 16:01:01,38.5722144,-111.8980922,2340.422
435,04/23/2014 20:01:22,38.5731572,-111.8975217,2346.188
436,04/24/2014 00:01:22,38.5725353,-111.8979603,2330.734
437,04/24/2014 04:01:21,38.5721119,-111.8983489,2319.855
438,04/24/2014 08:01:23,38.573425,-111.9025611,2382.633
440,04/24/2014 16:01:20,38.5730194,-111.8996042,2355.684
441,04/24/2014 20:01:04,38.5723433,-111.89791,2322.305
445,04/25/2014 12:01:18,38.5734081,-111.9025361,2379.27
447,04/25/2014 20:01:02,38.5722483,-111.8978997,2323.738
449,04/26/2014 04:01:12,38.5723583,-111.89786,2336.895
450,04/26/2014 08:00:59,38.5723931,-111.9002122,2350.766
451,04/26/2014 12:01:21,38.5724561,-111.8989386,2341.242
452,04/26/2014 16:02:13,38.572505,-111.8980917,2327.488
453,04/26/2014 20:00:59,38.5725317,-111.898035,2320.445
454,04/27/2014 00:01:19,38.5722919,-111.8979092,2320.703
455,04/27/2014 04:01:26,38.5726678,-111.9004786,2276.633
456,04/27/2014 08:01:18,38.5786983,-111.9264114,2690.375
457,04/27/2014 12:01:28,38.5786806,-111.9263478,2698.246
458,04/27/2014 16:01:19,38.5787611,-111.9263803,2696.363
459,04/27/2014 20:01:40,38.5730836,-111.8988036,2296.641
460,04/28/2014 00:01:12,38.5730944,-111.8989544,2316.621
461,04/28/2014 04:01:38,38.5724192,-111.8978942,2307.289
462,04/28/2014 08:01:01,38.5786778,-111.9264131,2686.492
463,04/28/2014 12:01:20,38.5786703,-111.9264619,2685.191
464,04/28/2014 16:00:59,38.5787167,-111.9263525,2700.414
466,04/29/2014 00:01:15,38.5738558,-111.898815,2710.332
467,04/29/2014 04:00:52,38.5723753,-111.8978111,2293.375
468,04/29/2014 08:01:22,38.5733422,-111.9244756,2630.508
469,04/29/2014 12:01:43,38.5763819,-111.9261094,2738.996
470,04/29/2014 16:01:00,38.576485,-111.9260217,2716.809
471,04/29/2014 20:01:10,38.5735958,-111.9347392,2905.18
474,04/30/2014 08:01:25,38.5717056,-111.9380178,2947.473
475,04/30/2014 12:01:21,38.5717258,-111.9379978,2959.879
476,04/30/2014 16:01:00,38.5717981,-111.9379794,2962.102
477,04/30/2014 20:02:07,38.5671944,-111.9393092,2910.973
479,05/01/2014 04:01:04,38.5551583,-111.9551844,2728.66
480,05/01/2014 08:01:19,38.5518044,-111.9652042,2794.098
481,05/01/2014 12:01:20,38.5517403,-111.9652436,2835.688
482,05/01/2014 16:01:05,38.5517486,-111.9651667,2810.414
483,05/01/2014 20:01:43,38.5463144,-111.9550925,2648.848
484,05/02/2014 00:00:58,38.5385414,-111.9453419,2565.652
485,05/02/2014 04:01:49,38.5402303,-111.9364872,2316.957
486,05/02/2014 08:00:59,38.5399392,-111.9500706,2499.148
487,05/02/2014 12:01:16,38.5401886,-111.9499147,2546.141
488,05/02/2014 16:00:59,38.5399186,-111.9501067,2525.922
489,05/02/2014 20:01:42,38.5348097,-111.9377842,2489.93
490,05/03/2014 00:01:07,38.5339822,-111.9389025,2512.996
491,05/03/2014 04:00:57,38.5340225,-111.9388367,2515.699
494,05/03/2014 16:01:18,38.5371103,-111.9502786,2636.953
495,05/03/2014 20:01:26,38.5340197,-111.9386375,2527.297
496,05/04/2014 00:01:10,38.5339619,-111.9388025,2517.18
497,05/04/2014 04:01:06,38.5339828,-111.9387553,2514.629
498,05/04/2014 08:01:36,38.5396975,-111.949745,2552.328
499,05/04/2014 12:01:20,38.5396169,-111.9498303,2540.047
500,05/04/2014 16:01:24,38.5399728,-111.9496089,2546.043
501,05/04/2014 20:01:20,38.5349267,-111.9397639,2547.133
503,05/05/2014 04:01:21,38.5401786,-111.9461047,2550.125
504,05/05/2014 08:01:20,38.5398761,-111.9497442,2553.914
505,05/05/2014 12:01:19,38.5401686,-111.9498903,2593.844
