time,date,hour,y,x
300,28-Dec-04,13:00,4844911.935,369411.4883
301,28-Dec-04,13:05,4844773.401,369864.2836
302,28-Dec-04,13:10,4844561.293,370215.2259
303,28-Dec-04,13:15,4844451.753,370443.8546
304,28-Dec-04,13:20,4844582.81,370486.4258
305,28-Dec-04,13:25,4844463.41,370501.5876
306,28-Dec-04,13:30,4844241.522,370580.4294
307,28-Dec-04,13:35,4844116.204,370746.6761
308,28-Dec-04,13:40,4843877.321,371011.5597
309,28-Dec-04,13:45,4843740.019,371185.6963
310,28-Dec-04,13:50,4843595.237,371533.2112
311,28-Dec-04,13:55,4843480.757,371878.5989
312,28-Dec-04,14:00,4843372.482,372346.5905
313,28-Dec-04,14:05,4843007.29,370005.0972
314,28-Dec-04,14:10,4843567.492,371120.171
315,28-Dec-04,14:15,4843572.187,371121.5829
316,28-Dec-04,14:20,4843573.362,371118.2703
317,28-Dec-04,14:25,4843561.967,371123.1821
318,28-Dec-04,14:30,4843556.768,371124.2901
319,28-Dec-04,14:35,4843560.613,371124.8558
320,28-Dec-04,14:40,4843567.402,371113.8854
321,28-Dec-04,14:45,4843543.38,371147.8864
322,28-Dec-04,14:50,4843537.051,371149.4157
323,28-Dec-04,14:55,4843525.01,371143.4793
324,28-Dec-04,15:00,4843542.784,371148.2777
325,28-Dec-04,15:05,4843547.901,371145.6454
326,28-Dec-04,15:10,4843545.848,371147.7971
327,28-Dec-04,15:15,4843547.616,371147.1625
328,28-Dec-04,15:20,4843545.836,371145.533
329,28-Dec-04,15:25,4843547.06,371148.9403
330,28-Dec-04,15:30,4843544.176,371148.1031
331,28-Dec-04,15:35,4843542.304,371148.9612
332,28-Dec-04,15:40,4843546.254,371147.5149
333,28-Dec-04,15:45,4843543.247,371150.1879
334,28-Dec-04,15:50,4843544.207,371144.7684
335,28-Dec-04,15:55,4843545.17,371146.1082
336,28-Dec-04,16:00,4843540.352,371143.0344
337,28-Dec-04,16:05,4843544.382,371147.229
338,28-Dec-04,16:10,4843543.54,371149.3638
339,28-Dec-04,16:15,4843546.065,371148.0913
340,28-Dec-04,16:20,4843543.614,371146.7227
341,28-Dec-04,16:25,4843544.888,371146.3042
342,28-Dec-04,16:30,4843546.187,371146.3937
343,28-Dec-04,16:35,4843546.754,371147.5245
344,28-Dec-04,16:40,4843547.368,371149.0832
345,28-Dec-04,16:45,4843550.438,371148.3127
346,28-Dec-04,16:50,4843548.697,371147.5862
347,28-Dec-04,16:55,4843546.976,371150.3888
348,28-Dec-04,17:00,4843548.991,371147.9061
349,28-Dec-04,17:05,4843544.735,371146.1643
350,28-Dec-04,17:10,4843546.422,371145.1254
351,28-Dec-04,17:15,4843542.728,371143.1044
352,28-Dec-04,17:20,4843527.52,371173.4732
353,28-Dec-04,17:25,4843330.043,371521.4348
354,28-Dec-04,17:30,4843227.678,371859.6568
355,28-Dec-04,17:35,4843068.511,372256.4935
356,28-Dec-04,17:40,4842869.462,372486.2011
357,28-Dec-04,17:45,4842797.417,372781.0608
358,28-Dec-04,17:50,4842575.514,372909.6167
359,28-Dec-04,17:55,4842210.063,372974.6873
360,28-Dec-04,18:00,4841891.667,373118.6481
361,28-Dec-04,18:05,4841649.541,373024.936
362,28-Dec-04,18:10,4841367.955,372744.3882
363,28-Dec-04,18:15,4841075.851,372545.0865
364,28-Dec-04,18:20,4840974.678,372307.8714
365,28-Dec-04,18:25,4841105.214,371850.8802
366,28-Dec-04,18:30,4841265.778,371463.2353
367,28-Dec-04,18:35,4841398.432,371038.288
368,28-Dec-04,18:40,4841443.028,370724.0875
369,28-Dec-04,18:45,4841567.636,370571.9736
370,28-Dec-04,18:50,4841640.181,370432.5788
371,28-Dec-04,18:55,4841803.594,370262.7344
372,28-Dec-04,19:00,4841803.941,370262.6122
373,28-Dec-04,19:05,4841804.845,370265.2488
374,28-Dec-04,19:10,4841804.701,370264.6818
375,28-Dec-04,19:15,4841806.725,370262.2875
376,28-Dec-04,19:20,4841803.091,370263.466
377,28-Dec-04,19:25,4841833.733,370255.5356
378,28-Dec-04,19:30,4842186.794,370225.886
379,28-Dec-04,19:35,4842195.551,370066.3945
380,28-Dec-04,19:40,4842142.45,369751.8362
381,28-Dec-04,19:45,4841923.797,369463.7617
382,28-Dec-04,19:50,4841730.286,369043.1606
383,28-Dec-04,19:55,4841380.562,368787.5008
384,28-Dec-04,20:00,4841120.116,368551.8834
385,28-Dec-04,20:05,4840889.682,368184.2165
386,28-Dec-04,20:10,4840563.851,367813.0397
387,28-Dec-04,20:15,4840286.544,367439.2991
388,28-Dec-04,20:20,4839937.334,367132.7191
389,28-Dec-04,20:25,4839844.561,367025.4108
390,28-Dec-04,20:30,4839501.304,366707.5413
391,28-Dec-04,20:35,4839347.709,366517.1309
392,28-Dec-04,20:40,4839255.808,366201.7536
393,28-Dec-04,20:45,4838933.671,366074.7485
394,28-Dec-04,20:50,4838830.092,366071.6003
395,28-Dec-04,20:55,4838506.361,366059.6461
396,28-Dec-04,21:00,4838178.762,366123.2144
397,28-Dec-04,21:05,4837871.276,366173.9682
398,28-Dec-04,21:10,4837742.312,366227.2678
399,28-Dec-04,21:15,4837690.218,366254.7871
400,28-Dec-04,21:20,4837574.226,366279.5693
401,28-Dec-04,21:25,4837533.565,366300.4157
402,28-Dec-04,21:30,4837530.415,366294.595
403,28-Dec-04,21:35,4837569.5,366431.4788
404,28-Dec-04,21:40,4837696.629,366420.383
405,28-Dec-04,21:45,4837822.963,366484.7227
406,28-Dec-04,21:50,4837975.881,366642.8195
407,28-Dec-04,21:55,4838383.311,366667.4769
408,28-Dec-04,22:00,4838690.469,366388.7479
409,28-Dec-04,22:05,4838882.708,366351.0301
410,28-Dec-04,22:10,4838880.686,366353.2068
411,28-Dec-04,22:15,4838883.318,366354.3801
412,28-Dec-04,22:20,4838881.151,366354.4255
413,28-Dec-04,22:25,4838882.681,366354.0288
414,28-Dec-04,22:30,4838882.996,366353.2772
415,28-Dec-04,22:35,4838883.913,366352.4168
416,28-Dec-04,22:40,4839099.024,366247.7927
417,28-Dec-04,22:45,4839837.48,365673.2142
418,28-Dec-04,22:50,4840249.911,365432.2539
419,28-Dec-04,22:55,4840408.691,365376.3206
420,28-Dec-04,23:00,4840232.618,365495.94
421,28-Dec-04,23:05,4840128.697,365117.9448
422,28-Dec-04,23:10,4840064.515,365101.6716
423,28-Dec-04,23:15,4840156.034,365335.2449
424,28-Dec-04,23:20,4839684.807,365424.1188
425,28-Dec-04,23:25,4839867.303,365711.274
426,28-Dec-04,23:30,4839866.368,365743.9755
427,28-Dec-04,23:35,4839575.356,365997.7478
428,28-Dec-04,23:40,4839140.841,366223.573
429,28-Dec-04,23:45,4838835.131,366444.3839
430,28-Dec-04,23:51,4838506.389,366534.817
431,28-Dec-04,23:55,4838231.023,366663.1811
432,29-Dec-04,0:00,4837754.046,366761.3159
433,29-Dec-04,0:05,4837477.854,366956.6036
434,29-Dec-04,0:10,4837321.116,367056.5038
435,29-Dec-04,0:15,4837394.219,366686.8579
436,29-Dec-04,0:20,4837577.174,366512.3191
437,29-Dec-04,0:25,4837889.343,366571.3198
438,29-Dec-04,0:30,4837890.786,366570.2762
439,29-Dec-04,0:35,4837889.82,366572.4985
440,29-Dec-04,0:40,4837889.196,366571.4539
441,29-Dec-04,0:45,4837888.821,366572.9705
442,29-Dec-04,0:50,4837890.304,366571.6131
443,29-Dec-04,0:55,4837891.34,366565.9168
444,29-Dec-04,1:00,4837892.721,366572.4435
445,29-Dec-04,1:05,4837889.905,366569.8957
446,29-Dec-04,1:10,4837887.786,366565.8459
447,29-Dec-04,1:15,4837889.914,366570.549
448,29-Dec-04,1:20,4837887.231,366569.1489
449,29-Dec-04,1:25,4837887.45,366570.4112
450,29-Dec-04,1:30,4837887.208,366571.9545
451,29-Dec-04,1:35,4837891.296,366572.5683
452,29-Dec-04,1:40,4837892.573,366569.2394
453,29-Dec-04,1:45,4837893.319,366570.3025
454,29-Dec-04,1:50,4837894.298,366570.7898
455,29-Dec-04,1:55,4837895.784,366567.5779
456,29-Dec-04,2:00,4837893.35,366573.1899
457,29-Dec-04,2:05,4837887.673,366573.1491
458,29-Dec-04,2:10,4837883.059,366569.4285
459,29-Dec-04,2:15,4837889.933,366571.2912
460,29-Dec-04,2:20,4837888.199,366571.8614
461,29-Dec-04,2:25,4837884.243,366570.2343
462,29-Dec-04,2:30,4837887.105,366572.1299
463,29-Dec-04,2:35,4837889.191,366572.8005
464,29-Dec-04,2:40,4837887.077,366572.3954
465,29-Dec-04,2:45,4837888.831,366572.4788
466,29-Dec-04,2:50,4837888.646,366572.3138
467,29-Dec-04,2:55,4837888.634,366571.7572
468,29-Dec-04,3:00,4837888.163,366571.9736
469,29-Dec-04,3:05,4837883.605,366571.5842
470,29-Dec-04,3:10,4837885.477,366571.8474
471,29-Dec-04,3:15,4837884.476,366572.4564
472,29-Dec-04,3:20,4837885.905,366573.8073
473,29-Dec-04,3:25,4837886.503,366574.4482
474,29-Dec-04,3:30,4837888.731,366574.154
475,29-Dec-04,3:35,4837887.468,366574.532
476,29-Dec-04,3:40,4837889.999,366572.9698
477,29-Dec-04,3:45,4837892.938,366572.1092
478,29-Dec-04,3:50,4837886.98,366571.1597
479,29-Dec-04,3:55,4837885.823,366570.1126
480,29-Dec-04,4:00,4837887.559,366569.9618
481,29-Dec-04,4:05,4837893.154,366570.7911
482,29-Dec-04,4:10,4837889.752,366569.7395
483,29-Dec-04,4:15,4837895.475,366573.6193
484,29-Dec-04,4:20,4837892.952,366570.2952
485,29-Dec-04,4:25,4837893.754,366570.1983
486,29-Dec-04,4:30,4837893.663,366570.3094
487,29-Dec-04,4:35,4837893.425,366569.4338
488,29-Dec-04,4:40,4837892.546,366571.7224
489,29-Dec-04,4:45,4837893.139,366571.5085
490,29-Dec-04,4:50,4837873.462,366569.3014
491,29-Dec-04,4:55,4837890.546,366568.4087
492,29-Dec-04,5:00,4837892.001,366571.1955
493,29-Dec-04,5:05,4837890.758,366571.6625
494,29-Dec-04,5:10,4837889.619,366571.414
495,29-Dec-04,5:15,4837892.428,366573.1715
496,29-Dec-04,5:20,4837892.013,366572.2923
497,29-Dec-04,5:25,4837892.111,366573.4635
498,29-Dec-04,5:30,4837889.485,366570.8953
499,29-Dec-04,5:35,4837890.979,366570.1026
500,29-Dec-04,5:40,4837890.949,366569.9004
501,29-Dec-04,5:45,4837891.86,366569.3542
502,29-Dec-04,5:50,4837891.301,366569.5204
503,29-Dec-04,5:55,4837890.388,366570.2037
504,29-Dec-04,6:00,4837890.157,366569.5218
505,29-Dec-04,6:05,4837888.592,366578.3603
506,29-Dec-04,6:10,4837890.944,366565.7073
507,29-Dec-04,6:15,4837890.982,366568.2642
508,29-Dec-04,6:20,4837887.042,366569.129
509,29-Dec-04,6:25,4837889.378,366569.5546
510,29-Dec-04,6:30,4837759.646,366852.1916
511,29-Dec-04,6:35,4837604.681,367218.2732
512,29-Dec-04,6:40,4837634.469,367725.484
513,29-Dec-04,6:45,4837964.184,367555.8085
514,29-Dec-04,6:50,4838315.121,367277.7788
515,29-Dec-04,6:55,4838631.781,367128.323
516,29-Dec-04,7:00,4838969.212,366941.9919
517,29-Dec-04,7:05,4839009.188,366974.3833
518,29-Dec-04,7:10,4839113.095,366711.3093
519,29-Dec-04,7:15,4839308.216,366542.4298
520,29-Dec-04,7:20,4839502.197,366358.5833
521,29-Dec-04,7:25,4839666.649,366165.4416
522,29-Dec-04,7:30,4840027.498,365999.6343
523,29-Dec-04,7:35,4840317.651,366002.2708
524,29-Dec-04,7:40,4840788.892,366044.6175
525,29-Dec-04,7:45,4840842.679,366081.7807
526,29-Dec-04,7:50,4840884.679,366045.1927
527,29-Dec-04,7:55,4841421.406,365991.259
528,29-Dec-04,8:00,4841968.144,366023.7647
529,29-Dec-04,8:05,4842487.836,366091.277
530,29-Dec-04,8:10,4843132.469,366055.3508
531,29-Dec-04,8:15,4843626.251,366067.5175
532,29-Dec-04,8:20,4843972.441,366108.1734
533,29-Dec-04,8:25,4844009.19,366356.7495
534,29-Dec-04,8:30,4844240.933,366630.3838
535,29-Dec-04,8:35,4844507.456,366791.3683
536,29-Dec-04,8:40,4844485.23,367102.9784
537,29-Dec-04,8:45,4844459.105,367114.2754
538,29-Dec-04,8:50,4844271.768,367351.3699
